,feat_sel_type,num_features,fold,metric,score
158,seurat_v3,2000,3,f1,0.8255887969446213
159,seurat_v3,5000,3,f1,0.8504758980657047
160,pearson_residuals,20,3,f1,0.6209239130434783
161,pearson_residuals,50,3,f1,0.7446331304069208
162,pearson_residuals,100,3,f1,0.8034134007585335
163,pearson_residuals,200,3,f1,0.8166351606805293
164,pearson_residuals,300,3,f1,0.8317202622541368
165,pearson_residuals,400,3,f1,0.8457560085184058
166,pearson_residuals,500,3,f1,0.8603385731559855
167,pearson_residuals,1000,3,f1,0.8689943300507311
168,pearson_residuals,2000,3,f1,0.8729874776386404
169,pearson_residuals,5000,3,f1,0.8650269946010798
170,seurat,20,3,f1,0.0
171,seurat,50,3,f1,0.291928185666326
172,seurat,100,3,f1,0.3073836276083467
173,seurat,200,3,f1,0.3840924541128484
174,seurat,300,3,f1,0.6443873179091688
175,seurat,400,3,f1,0.683613878392305
176,seurat,500,3,f1,0.721015703307718
177,seurat,1000,3,f1,0.7349604675146099
178,seurat,2000,3,f1,0.8408877774304471
179,seurat,5000,3,f1,0.8653960690887433
180,cell_ranger,20,3,f1,0.2805640354702718
181,cell_ranger,50,3,f1,0.3299784327821711
182,cell_ranger,100,3,f1,0.4782785221274868
183,cell_ranger,200,3,f1,0.6067073170731707
184,cell_ranger,300,3,f1,0.7376373626373627
185,cell_ranger,400,3,f1,0.7656988521269412
186,cell_ranger,500,3,f1,0.7868525896414342
187,cell_ranger,1000,3,f1,0.8445262189512419
188,cell_ranger,2000,3,f1,0.8614548747358889
189,cell_ranger,5000,3,f1,0.8631833282996074
190,random_all_genes,20,3,f1,0.2308739450040838
191,random_all_genes,50,3,f1,0.4610061219057759
192,random_all_genes,100,3,f1,0.6314699792960663
193,random_all_genes,200,3,f1,0.7372954349698536
194,random_all_genes,300,3,f1,0.7556221889055472
195,random_all_genes,400,3,f1,0.7651492312330419
196,random_all_genes,500,3,f1,0.769882068339885
197,random_all_genes,1000,3,f1,0.7918367346938775
198,random_all_genes,2000,3,f1,0.8139097744360902
199,random_all_genes,5000,3,f1,0.8483213429256595
200,seurat_v3,20,4,f1,0.0826446280991735
201,seurat_v3,50,4,f1,0.3356164383561644
202,seurat_v3,100,4,f1,0.6358381502890174
203,seurat_v3,200,4,f1,0.7277628032345014
204,seurat_v3,300,4,f1,0.7513812154696132
205,seurat_v3,400,4,f1,0.8
206,seurat_v3,500,4,f1,0.8125
207,seurat_v3,1000,4,f1,0.8125
208,seurat_v3,2000,4,f1,0.8367346938775511
209,seurat_v3,5000,4,f1,0.8444444444444444
210,pearson_residuals,20,4,f1,0.3597560975609756
211,pearson_residuals,50,4,f1,0.585
212,pearson_residuals,100,4,f1,0.7407407407407407
213,pearson_residuals,200,4,f1,0.8111888111888111
214,pearson_residuals,300,4,f1,0.8235294117647058
215,pearson_residuals,400,4,f1,0.8393285371702638
216,pearson_residuals,500,4,f1,0.8384074941451991
217,pearson_residuals,1000,4,f1,0.8624708624708625
218,pearson_residuals,2000,4,f1,0.8511627906976744
219,pearson_residuals,5000,4,f1,0.8604651162790697
220,seurat,20,4,f1,0.0
221,seurat,50,4,f1,0.0368663594470046
222,seurat,100,4,f1,0.3191489361702128
223,seurat,200,4,f1,0.5730659025787965
224,seurat,300,4,f1,0.7457627118644068
225,seurat,400,4,f1,0.7486033519553073
226,seurat,500,4,f1,0.7474226804123711
227,seurat,1000,4,f1,0.8217054263565892
228,seurat,2000,4,f1,0.8094117647058824
229,seurat,5000,4,f1,0.8611111111111112
230,cell_ranger,20,4,f1,0.2713178294573643
231,cell_ranger,50,4,f1,0.380281690140845
232,cell_ranger,100,4,f1,0.7206703910614525
233,cell_ranger,200,4,f1,0.7893333333333333
234,cell_ranger,300,4,f1,0.8140161725067385
235,cell_ranger,400,4,f1,0.8275862068965517
236,cell_ranger,500,4,f1,0.8503937007874016
237,cell_ranger,1000,4,f1,0.8527131782945736
238,cell_ranger,2000,4,f1,0.8684863523573201
239,cell_ranger,5000,4,f1,0.8641975308641975
240,random_all_genes,20,4,f1,0.1342281879194631
241,random_all_genes,50,4,f1,0.3515850144092219
242,random_all_genes,100,4,f1,0.5970149253731343
243,random_all_genes,200,4,f1,0.6910755148741419
244,random_all_genes,300,4,f1,0.7632850241545893
245,random_all_genes,400,4,f1,0.75
246,random_all_genes,500,4,f1,0.7445255474452555
247,random_all_genes,1000,4,f1,0.8088235294117647
248,random_all_genes,2000,4,f1,0.8106796116504854
249,random_all_genes,5000,4,f1,0.8498845265588915
250,seurat_v3,20,0,accuracy,0.5651811745106206
251,seurat_v3,50,0,accuracy,0.5735110370678884
252,seurat_v3,100,0,accuracy,0.5927738442315702
253,seurat_v3,200,0,accuracy,0.926176593086214
254,seurat_v3,300,0,accuracy,0.8507913369429404
255,seurat_v3,400,0,accuracy,0.8471470220741357
256,seurat_v3,500,0,accuracy,0.899625156184923
257,seurat_v3,1000,0,accuracy,0.9541857559350272
258,seurat_v3,2000,0,accuracy,0.961786755518534
259,seurat_v3,5000,0,accuracy,0.9656393169512704
260,pearson_residuals,20,0,accuracy,0.6050603915035402
261,pearson_residuals,50,0,accuracy,0.6884631403581841
262,pearson_residuals,100,0,accuracy,0.7646813827571846
263,pearson_residuals,200,0,accuracy,0.9636609745939192
264,pearson_residuals,300,0,accuracy,0.9647022074135776
265,pearson_residuals,400,0,accuracy,0.9667846730528946
266,pearson_residuals,500,0,accuracy,0.967305289462724
267,pearson_residuals,1000,0,accuracy,0.9667846730528946
268,pearson_residuals,2000,0,accuracy,0.9680341524364848
269,pearson_residuals,5000,0,accuracy,0.9684506455643482
270,seurat,20,0,accuracy,0.7892544773011245
271,seurat,50,0,accuracy,0.7893586005830904
272,seurat,100,0,accuracy,0.911286963765098
273,seurat,200,0,accuracy,0.8759891711786756
274,seurat,300,0,accuracy,0.8802582257392753
275,seurat,400,0,accuracy,0.9196168263223656
276,seurat,500,0,accuracy,0.9073302790503956
277,seurat,1000,0,accuracy,0.9602249062890462
278,seurat,2000,0,accuracy,0.9666805497709288
279,seurat,5000,0,accuracy,0.9667846730528946
280,cell_ranger,20,0,accuracy,0.5543523531861724
281,cell_ranger,50,0,accuracy,0.6128696376509788
282,cell_ranger,100,0,accuracy,0.6457725947521866
283,cell_ranger,200,0,accuracy,0.9380466472303208
284,cell_ranger,300,0,accuracy,0.9544981257809246
285,cell_ranger,400,0,accuracy,0.9615785089546024
286,cell_ranger,500,0,accuracy,0.96314035818409
287,cell_ranger,1000,0,accuracy,0.9668887963348604
288,cell_ranger,2000,0,accuracy,0.9667846730528946
289,cell_ranger,5000,0,accuracy,0.9677217825905872
290,random_all_genes,20,0,accuracy,0.5663265306122449
291,random_all_genes,50,0,accuracy,0.7147022074135777
292,random_all_genes,100,0,accuracy,0.8740108288213244
293,random_all_genes,200,0,accuracy,0.9137859225322782
294,random_all_genes,300,0,accuracy,0.8960849645980842
295,random_all_genes,400,0,accuracy,0.891399416909621
296,random_all_genes,500,0,accuracy,0.9478342357351104
297,random_all_genes,1000,0,accuracy,0.9575177009579342
298,random_all_genes,2000,0,accuracy,0.9594960433152852
299,random_all_genes,5000,0,accuracy,0.9618908788004998
300,seurat_v3,20,1,accuracy,0.6740382400368579
301,seurat_v3,50,1,accuracy,0.7509790370882286
302,seurat_v3,100,1,accuracy,0.7747062888735314
303,seurat_v3,200,1,accuracy,0.912692927896798
304,seurat_v3,300,1,accuracy,0.9110803962220686
305,seurat_v3,400,1,accuracy,0.916609076249712
306,seurat_v3,500,1,accuracy,0.9212163096060816
307,seurat_v3,1000,1,accuracy,0.9308914996544576
308,seurat_v3,2000,1,accuracy,0.9138447362358904
309,seurat_v3,5000,1,accuracy,0.9601474314674038
310,pearson_residuals,20,1,accuracy,0.8774475927205713
311,pearson_residuals,50,1,accuracy,0.9373416263533748
312,pearson_residuals,100,1,accuracy,0.9513936880903018
313,pearson_residuals,200,1,accuracy,0.9656761114950472
314,pearson_residuals,300,1,accuracy,0.9695922598479612
315,pearson_residuals,400,1,accuracy,0.9691315365123244
316,pearson_residuals,500,1,accuracy,0.9571527297857636
317,pearson_residuals,1000,1,accuracy,0.967979728173232
318,pearson_residuals,2000,1,accuracy,0.9746602165399676
319,pearson_residuals,5000,1,accuracy,0.9695922598479612
320,seurat,20,1,accuracy,0.6226675881133379
321,seurat,50,1,accuracy,0.6231283114489748
322,seurat,100,1,accuracy,0.6420179682100898
323,seurat,200,1,accuracy,0.8742225293711127
324,seurat,300,1,accuracy,0.8449665975581663
325,seurat,400,1,accuracy,0.9470168164017508
326,seurat,500,1,accuracy,0.943791753052292
327,seurat,1000,1,accuracy,0.9507026030868464
328,seurat,2000,1,accuracy,0.9705137065192352
329,seurat,5000,1,accuracy,0.9564616447823082
330,cell_ranger,20,1,accuracy,0.6233586731167934
331,cell_ranger,50,1,accuracy,0.6606772633033863
332,cell_ranger,100,1,accuracy,0.7673347155033402
333,cell_ranger,200,1,accuracy,0.8608615526376411
334,cell_ranger,300,1,accuracy,0.8532596175996314
335,cell_ranger,400,1,accuracy,0.931121861322276
336,cell_ranger,500,1,accuracy,0.9285878829762728
337,cell_ranger,1000,1,accuracy,0.935959456346464
338,cell_ranger,2000,1,accuracy,0.9564616447823082
