Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P1_Tumor_683	4.19639559602629	11.0012886576204	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_684	3.88065310335051	10.2986376337557	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_696	-8.49446467542757	2.37577248139668	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_697	4.33251472329985	10.367450004056	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_699	4.5636434159268	10.4072697214632	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_706	-8.88770846510042	2.43713069482137	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_733	4.37381144380461	10.1925938181429	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_752	-8.48705081129182	2.43623972459126	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_795	4.22905035829436	10.2117989115267	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_799	4.29040070390593	10.6635868601351	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_801	3.87101670122038	10.4770004801302	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_810	4.39414115762602	10.2566444925814	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_815	4.24867316102873	10.3628542475252	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_826	3.81371017312895	10.5683462671785	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_872	4.1559354863156	10.8381035379915	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_881	4.16517706727873	10.6502287439852	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_904	4.22111125802886	10.6357891611605	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_908	4.03379197931181	10.0128538660555	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_938	-8.50656394147981	2.31239390893269	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_945	4.0607320866574	10.6552364878206	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_962	4.28189702844512	10.5291874460726	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_963	4.13884898042571	10.0625240854769	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_965	3.86276670312773	10.5586941294222	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_981	-9.23616389417757	3.33079171700765	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_986	3.95838328218352	10.5333054117708	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_988	4.26943631982695	9.96065927071858	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_992	4.52612896776091	10.4078133158236	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1016	3.91021653032195	10.6495163492708	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1019	4.0176286301602	10.6872055582552	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1022	4.54953165864836	10.4693329386263	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1030	3.87319584703337	10.5377285532503	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1042	4.34790702676665	10.6346018366366	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1053	4.16182323312651	10.9138376764803	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1066	4.05024071550261	10.0902321390658	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1084	4.19213267183196	10.9327547602205	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1166	-8.10522154951204	2.5265827230959	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1169	4.40733905649077	10.3031227640658	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1186	4.31364079332243	10.7402813486605	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1194	-9.12575511121858	2.76750565095235	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1209	4.0173229775418	10.1778605036287	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1222	4.43312712526213	10.4862854532747	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1223	4.12936945772063	10.372498755887	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1243	4.23591442918669	10.0965702585726	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1245	4.30565877771269	10.1946365885286	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1258	4.1832530102719	10.7743666224032	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1277	4.16323514795195	10.1740839533358	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1285	-7.69228343153108	2.57800460381795	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1286	4.47223587846648	10.5114529184847	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1339	4.40801473474394	10.4406635813265	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1355	4.13821717119109	10.9020311884432	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1363	4.07899685716521	10.0844719461947	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1372	4.1875242791165	9.82227159066487	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1376	4.29464097833525	10.4821102671175	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1381	3.86730333185088	10.4490406565218	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1388	4.00961800432097	10.5703604273348	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
P1_Tumor_1389	3.91303201532256	10.5115797571688	Immune cells	B	B	13	P1_Tumor	P1	Tumor	Primary
